MappedinID,AreaListID_23,AreaListID_25,ChangedColumns,Name_23,Name_25,VN_23,VN_25,EN_23,EN_25,ZH_23,ZH_25,JA_23,JA_25,KO_23,KO_25
e_4232bd850a26337a,1627,1627,Name,e_4232bd850a26337a,N,N,N,N,N,,,,,,
e_427a4aaeb0f7d17b,1121,1121,Name,e_427a4aaeb0f7d17b,N,N,N,N,N,,,,,,
e_4390444644ac32d0,1744,1744,Name,e_4390444644ac32d0,N,N,N,N,N,,,,,,
e_4394e47b51dd3c58,1196,1196,Name,e_4394e47b51dd3c58,N,N,N,N,N,,,,,,
e_43a1d94e625bcb1a,1731,1731,Name,e_43a1d94e625bcb1a,N,N,N,N,N,,,,,,
e_4502c56a95f856ec,880,880,Name,e_4502c56a95f856ec,N,N,N,N,N,,,,,,
e_452bf9221699c613,1817,1817,Name,e_452bf9221699c613,N,N,N,N,N,,,,,,
e_4575cfe3dff4ebdc,855,855,Name,e_4575cfe3dff4ebdc,N,N,N,N,N,,,,,,
e_458b836068312ee6,1704,1704,Name,e_458b836068312ee6,N,N,N,N,N,,,,,,
e_45b97734be1c55b4,1103,1103,Name,e_45b97734be1c55b4,N,N,N,N,N,,,,,,
e_461cdb34df3a3df2,725,725,Name,e_461cdb34df3a3df2,N,N,N,N,N,,,,,,
e_465020cac42901f2,1175,1175,Name,e_465020cac42901f2,N,N,N,N,N,,,,,,
e_46abf12aaf7d5f48,780,780,Name,e_46abf12aaf7d5f48,N,N,N,N,N,,,,,,
e_46c476497d45fa74,1741,1741,Name,e_46c476497d45fa74,N,N,N,N,N,,,,,,
e_4798ddf5e5dcb80b,830,830,Name,e_4798ddf5e5dcb80b,N,N,N,N,N,,,,,,
e_47e850737320a471,1735,1735,Name,e_47e850737320a471,N,N,N,N,N,,,,,,
e_47f39009af7c2416,1729,1729,Name,e_47f39009af7c2416,N,N,N,N,N,,,,,,
e_4809103b343db75c,1725,1725,Name,e_4809103b343db75c,N,N,N,N,N,,,,,,
